NAME,total_housing_units,built_2020_plus,built_2010_2019,built_2000_2009,total_units_in_structure,units_10_19,units_20_49,units_50_plus,median_home_value,owner_occupied,renter_occupied,total_pop,median_hh_income,bachelors,masters,professional_degree,doctorate,GEOID,lat,lon,county_fips,county_name,pct_new_housing,pct_renter,pct_college,units_10_plus,tier_label,tier_color,state_avg_pct_new,tract_fips,mobility_score
Block Group 2; Census Tract 9603.01; Box Elder County; Utah,505,70,0,0,505,0,0,0,257700.0,282,223,1328,64970.0,30,21,0,0,490039603012,41.6999263,-112.1659896,49003,Box Elder,0.13861386138613863,0.4415841584158416,0.038403614457831324,0,High growth,#0570B0,0.02349461311125304,49003960301,
Block Group 3; Census Tract 9603.01; Box Elder County; Utah,313,0,0,0,313,0,0,0,261500.0,136,177,937,71507.0,0,38,0,0,490039603013,41.7133112,-112.1659801,49003,Box Elder,0.0,0.5654952076677316,0.04055496264674493,0,Minimal new construction,#D9D9D9,0.02349461311125304,49003960301,
Block Group 4; Census Tract 9603.01; Box Elder County; Utah,373,0,0,18,373,0,0,0,372800.0,349,24,1315,95313.0,91,51,0,8,490039603014,41.7216895,-112.1608209,49003,Box Elder,0.0,0.064343163538874,0.11406844106463879,0,Minimal new construction,#D9D9D9,0.02349461311125304,49003960301,
Block Group 1; Census Tract 9603.02; Box Elder County; Utah,859,0,127,200,859,0,0,219,267600.0,606,195,2230,72872.0,112,15,68,0,490039603021,41.7189412,-112.1751164,49003,Box Elder,0.0,0.24344569288389514,0.08744394618834081,219,Minimal new construction,#D9D9D9,0.02349461311125304,49003960302,
Block Group 2; Census Tract 9603.02; Box Elder County; Utah,417,0,0,96,417,0,0,15,300300.0,313,73,1182,75333.0,63,0,0,0,490039603022,41.7046219,-112.1843503,49003,Box Elder,0.0,0.18911917098445596,0.0532994923857868,15,Minimal new construction,#D9D9D9,0.02349461311125304,49003960302,
Block Group 3; Census Tract 9603.02; Box Elder County; Utah,554,43,140,120,554,0,0,78,350000.0,191,324,1100,70511.0,114,25,0,0,490039603023,41.7188195,-112.2013151,49003,Box Elder,0.0776173285198556,0.629126213592233,0.12636363636363637,78,High growth,#0570B0,0.02349461311125304,49003960302,
Block Group 4; Census Tract 9603.02; Box Elder County; Utah,463,10,218,56,463,0,0,0,378000.0,251,193,1595,56402.0,114,0,0,0,490039603024,41.7078798,-112.1753678,49003,Box Elder,0.02159827213822894,0.4346846846846847,0.07147335423197493,0,Some new construction,#A6BDDB,0.02349461311125304,49003960302,
Block Group 1; Census Tract 9604; Box Elder County; Utah,598,0,104,77,598,0,0,45,391000.0,493,65,1736,79079.0,212,42,13,0,490039604001,41.573093,-112.306393,49003,Box Elder,0.0,0.11648745519713262,0.15380184331797234,45,Minimal new construction,#D9D9D9,0.02349461311125304,49003960400,0.49664754
Block Group 2; Census Tract 9604; Box Elder County; Utah,656,19,49,86,656,0,0,12,417100.0,575,73,2180,97727.0,267,50,5,19,490039604002,41.6361903,-112.1374021,49003,Box Elder,0.028963414634146343,0.11265432098765432,0.15642201834862385,12,Some new construction,#A6BDDB,0.02349461311125304,49003960400,0.49664754
Block Group 3; Census Tract 9604; Box Elder County; Utah,485,2,77,50,485,0,0,0,365300.0,381,82,1454,65313.0,152,53,16,0,490039604003,41.5524267,-112.1346526,49003,Box Elder,0.004123711340206186,0.1771058315334773,0.15199449793672629,0,Minimal new construction,#D9D9D9,0.02349461311125304,49003960400,0.49664754
Block Group 1; Census Tract 9605; Box Elder County; Utah,499,42,20,109,499,0,0,0,374600.0,431,68,1753,88250.0,319,123,0,0,490039605001,41.5501836,-112.026885,49003,Box Elder,0.0841683366733467,0.13627254509018036,0.25213918996006845,0,High growth,#0570B0,0.02349461311125304,49003960500,0.4053224
Block Group 2; Census Tract 9605; Box Elder County; Utah,304,0,20,0,304,0,0,0,325000.0,304,0,1022,119242.0,102,127,0,0,490039605002,41.4420809,-112.1593052,49003,Box Elder,0.0,0.0,0.22407045009784735,0,Minimal new construction,#D9D9D9,0.02349461311125304,49003960500,0.4053224
Block Group 3; Census Tract 9605; Box Elder County; Utah,657,0,35,26,657,32,6,0,267200.0,271,356,1537,45509.0,157,0,3,0,490039605003,41.5185066,-112.0185283,49003,Box Elder,0.0,0.5677830940988836,0.10409889394925179,38,Minimal new construction,#D9D9D9,0.02349461311125304,49003960500,0.4053224
