geoid,lat,lon
490351113061,40.6094422,-111.8259365
490351113062,40.6068923,-111.8144187
490351114001,40.7219003,-111.8796932
490351114002,40.7155063,-111.8797286
490351114003,40.7087113,-111.8797335
490351114005,40.7155031,-111.8854228
490351114006,40.7218961,-111.8854
490572002022,41.255392,-111.9628966
490351117023,40.7044252,-111.8740448
490351117024,40.7024079,-111.8798487
490351117022,40.7028133,-111.8856027
490351117012,40.6934637,-111.8798528
490572004001,41.2408065,-111.9810729
490572004002,41.2372894,-111.9734526
490572005001,41.2498165,-111.9651948
490572005002,41.2467743,-111.9611162
490111270033,40.88975,-111.9404165
490111262062,40.9284406,-111.9678556
490119800001,41.1291265,-111.9919303
490111261082,41.0058908,-111.9834842
490111261071,41.0387041,-111.9903436
490111254112,40.9581019,-112.2134044
490111254082,41.1344047,-112.1791968
490111251033,41.1344972,-111.9337443
490111270024,40.8441451,-111.9247004
490111270052,40.8662962,-111.9196444
490111254151,41.0711011,-112.0214594
490111252012,41.1067091,-111.9985
490111254131,41.0800235,-112.0409652
490111254111,41.0715148,-112.0733918
490111262051,40.9949655,-111.9213404
490111262061,40.975583,-111.9040893
490111263033,40.9556245,-111.8416295
490111251031,41.1107316,-111.9446047
490111258093,41.0998942,-111.9826798
490111258102,41.0928016,-111.9868032
490111260023,41.0559862,-112.0022709
490111261081,41.018687,-111.9556136
490111261062,41.0348272,-111.9543071
490111262052,41.0060349,-111.9153039
490111253074,41.1418314,-112.1024986
490111264043,40.828537,-111.866247
490111258101,41.1007156,-111.9997119
490111253062,41.1463409,-112.0803937
490111254132,41.0671052,-112.0346888
490111254081,41.0928121,-112.092997
490111254071,41.1235177,-112.0740481
490111253071,41.131403,-112.0757312
490111261072,41.0438989,-111.9737628
490111255023,41.1120549,-112.0365852
490111259064,41.0533793,-111.9466636
490111254091,41.0858921,-112.0665486
490111253054,41.1362421,-112.0548369
490111259062,41.0567003,-111.9524738
490111269025,40.8658179,-111.8895608
490111269024,40.8588677,-111.8937003
490111270061,40.8729723,-111.9069484
490351151071,40.4694343,-112.0611777
490351128312,40.4780448,-111.864792
490351135441,40.6769928,-112.0299645
490351130251,40.5452218,-111.9720221
490351130242,40.5491362,-111.9626951
490351135451,40.6670239,-112.0590181
490351135431,40.6125923,-112.0121721
490351135421,40.6165536,-112.0393045
490351135442,40.6797674,-112.0451947
490351151082,40.4700708,-112.0028448
490111259063,41.0487797,-111.9525084
490111252011,41.1134651,-112.0088912
490111257013,41.1002158,-112.0175253
490111254083,41.0978586,-112.1024616
490111253072,41.1317871,-112.09333
490111254101,41.0708365,-112.0515508
490111254121,41.0783473,-112.0322072
490111254141,41.0853091,-112.0133973
490230102004,39.7822009,-111.8998022
490230102003,39.7992379,-111.8482098
490230101005,39.6966265,-111.8372388
490572103061,41.277136,-111.9833722
490572101013,41.2149764,-111.8896076
490572101022,41.3372604,-111.8497918
490572105182,41.2249281,-112.0316192
490572112024,41.1607855,-111.9584583
490572112025,41.151447,-111.950264
490572103052,41.2985882,-111.9784622
490572104061,41.2989453,-112.0349983
490572104062,41.32142,-112.0387724
490572104072,41.2844854,-112.0487691
490572104052,41.2876498,-112.0153277
490572104073,41.2991672,-112.063925
490572105132,41.1944042,-112.0394963
490572011002,41.2229784,-111.9819362
490572104081,41.2389797,-112.3061695
490572101012,41.2620396,-111.7917962
490572105142,41.1879499,-112.0695063
490572101011,41.3700825,-111.9334158
490572105141,41.1783029,-112.0729989
490572104051,41.2584053,-112.016197
490572003022,41.2490733,-111.9844134
490572103051,41.3009315,-111.9895539
490572105093,41.1740252,-112.0756999
490572105134,41.1855746,-112.0465257
490572105143,41.1892009,-112.0545503
490572105133,41.1801827,-112.0551308
490572105151,41.1820931,-112.0939003
490572105092,41.1686776,-112.0796999
490572105152,41.1623243,-112.0937325
490572105171,41.2126118,-112.073769
490572105181,41.2309285,-112.0880052
490572105161,41.1812218,-112.1527322
490572104082,41.3008989,-112.0924006
490572105163,41.1602138,-112.1375958
490572020004,41.1748899,-111.9448287
490572103053,41.2989758,-112.0011547
490572003013,41.2567088,-111.9741674
490572105172,41.1987752,-112.0778391
490572105162,41.1677122,-112.1325745
490572104071,41.3192785,-112.0619291
490439641041,40.8602009,-111.1758993
490439641031,40.746816,-111.4308248
490439641032,40.7933336,-111.3625296
490439641042,40.865544,-111.449232
490439641043,40.8984847,-111.3853821
490439643072,40.7170482,-111.5014973
490572103062,41.288367,-111.9787995
490572103043,41.3163919,-112.0046346
490572003012,41.2631079,-111.983751
490572003011,41.2560986,-111.9827657
490572105131,41.2007366,-112.0313571
490532701011,37.4527618,-113.305542
490532701023,37.3211109,-113.0584763
490532703021,37.2020618,-113.8875061
490532701022,37.1266578,-112.9750965
490532711012,37.1053048,-113.5264308
490532712003,37.1219478,-113.546818
490532707023,37.1288434,-113.6286527
490532707013,37.1339041,-113.6197382
490532707011,37.1260323,-113.6187969
490532715021,37.0704622,-113.6209341
490532706014,37.1155278,-113.6247939
490532717023,37.0261072,-113.5853511
490532707021,37.1608731,-113.6217178
490532716004,37.0447213,-113.626155
490532708041,37.0912078,-113.5104617
490532703011,37.2615557,-113.5889065
490532701012,37.3178561,-113.2849088
490532701021,37.0626078,-113.1543405
490532717031,37.0655749,-113.5464974
490532704021,37.2332878,-113.6933999
490532708031,37.1159919,-113.4870179
490532708042,37.1052276,-113.5139146
490532715013,37.0945441,-113.5978164
490532716003,37.0575578,-113.6054512
490532708032,37.0556796,-113.464407
490532717032,37.084296,-113.53339
490532709031,37.1889696,-113.2865293
490532709053,37.0576151,-113.3988379
490532709052,37.1734658,-113.3031328
490532709051,37.1368959,-113.4181202
490532709041,37.1850098,-113.3346862
490532709043,37.1823247,-113.4040357
490532701013,37.2485116,-113.4075568
490532705023,37.1396679,-113.6611846
490532718003,37.083884,-113.5740773
490532709032,37.1887086,-113.3083847
490532707012,37.1286711,-113.6081607
490532705011,37.1226614,-113.6823113
490532703012,37.1735298,-113.5633604
490532717033,37.0740948,-113.5299578
490532708061,37.1417008,-113.461733
490532706023,37.095452,-113.6442149
490532711021,37.1143166,-113.5443913
490532708023,37.1439215,-113.5316947
490532708024,37.1734038,-113.5273175
490532715011,37.109086,-113.6084834
490532715012,37.1164385,-113.607925
490532706011,37.111545,-113.613115
490532717042,37.0708357,-113.5695822
490532706012,37.1169357,-113.61879
490532712002,37.1037054,-113.5480523
490532706021,37.110244,-113.6400986
490532706013,37.0972261,-113.6139462
490532706022,37.0876893,-113.6195243
490532703013,37.1126326,-113.5907723
490532711023,37.118655,-113.5362181
490532707022,37.1440052,-113.6314215
490532704011,37.1646042,-113.6954812
490532704013,37.1549314,-113.6640407
490532708053,37.1261791,-113.496167
490532708051,37.1360508,-113.4994676
490532708052,37.1426056,-113.4840797
490532711011,37.1110436,-113.5266892
490532703014,37.1081392,-113.5710685
490532704012,37.1552075,-113.6774686
490532705022,37.1409628,-113.6544604
490532708021,37.1306082,-113.5145899
490532711022,37.1049931,-113.5376971
490532711024,37.1117321,-113.5362815
490532717041,37.0808685,-113.5629177
490532709042,37.1810617,-113.3594056
490532709012,37.1083338,-113.2942218
490532701024,37.025434,-112.9825435
490532705021,37.149322,-113.6425853
490532711013,37.119274,-113.5171986
490111253073,41.1362421,-112.0692831
490111254143,41.0783445,-112.0169565
490111254072,41.0964085,-112.0693851
490111257012,41.0903543,-112.0086536
490111261061,41.0101845,-111.940518
490111254152,41.0840315,-112.023007
490111258015,41.0884634,-111.9942295
490111258012,41.080869,-112.0025412
490111258091,41.1004656,-111.9758078
490111264044,40.8362363,-111.896576
490111270063,40.8694442,-111.8999102
