tract_fips,mobility_score
49049000105,0.49195734
49049000203,0.49362016
49049000204,0.44118831
49049000205,0.57922953
49049000206,0.55223566
49049000400,0.40162531
49049000504,0.47001472
49049000505,0.57375306
49049000506,0.53442705
49049000507,0.50014192
49049000508,0.44778466
49049000509,0.42912972
49049000601,0.50547564
49049000603,0.53758025
49049000604,0.49650705
49049000703,0.45496663
49049000706,0.49477053
49049000707,0.49994111
49049000708,0.55771583
49049000709,0.50353462
49049000710,0.55097443
49049000711,0.5649395
49049000801,0.45303816
49049000802,0.47197658
49049000901,0.43885812
49049000903,0.52606362
49049000904,0.5354833
49049001001,0.50318784
49049001002,0.52022177
49049001103,0.5241645
49049001105,0.54649258
49049001106,0.52096999
49049001107,0.52815479
49049001108,0.41874459
49049001201,0.5586586
49049001202,0.46885297
49049001300,0.48302218
49049001401,0.52473742
49049001402,0.45512798
49049001501,0.56877786
49049001503,0.5733065
49049001504,0.53165686
49049001601,0.59192723
49049001602,
49049001603,0.66160583
49049001701,0.54291672
49049001702,0.46696886
49049001801,0.47371471
49049001802,0.4557741
49049001803,0.44097355
49049001900,0.5100106
49049002000,0.43502739
49049002101,0.54548305
49049002102,0.49467638
49049002201,0.500736
49049002204,0.49237466
49049002205,0.42901424
49049002206,0.48226559
49049002207,0.45623919
49049002300,0.41785714
49049002400,0.44320878
49049002500,0.4090097
49049002701,0.44407117
49049002702,0.5280869
49049002801,0.39063016
49049002802,0.3914614
49049002901,0.48922268
49049002902,0.45290673
49049003001,0.48635432
49049003002,0.49400419
49049003103,0.47278863
49049003104,0.5247435
49049003105,0.48026183
49049003106,0.46223855
49049003201,0.47148639
49049003203,0.53881109
49049003204,0.44058904
49049003205,0.49891186
49049003300,0.44006526
49049003401,0.46585822
49049003402,0.45830712
49049003403,0.48290676
49049010103,0.52231759
49049010104,0.50965112
49049010105,0.47647986
49049010106,0.49318182
49049010107,0.44896215
49049010108,0.49928394
49049010109,0.41144097
49049010110,0.60988319
49049010111,0.40790135
49049010112,0.49314126
49049010113,0.53979957
49049010208,0.54088253
49049010209,0.55769992
49049010210,0.52460313
49049010211,0.59331
49049010212,0.63662088
49049010213,0.56310678
49049010214,0.50305933
49049010215,0.54851502
49049010216,0.52970457
49049010217,0.46756521
49049010218,0.51019013
49049010219,0.57199848
49049010220,0.54876232
49049010303,0.51980644
49049010304,0.48142585
49049010305,0.52487868
49049010404,0.56482577
49049010405,0.4370715
49049010406,0.52313924
49049010407,0.50560224
49049010408,0.526932
49049010409,0.45019519
49049010410,0.49004942
49049010411,0.57729661
49049010503,0.53166622
49049010504,0.48097956
49049010505,0.48263687
49049010506,0.37492016
49049010600,0.48030564
49049010700,0.4834106
49049010900,0.46550998
49049112821,
49049980100,
49051940500,0.50049949
49051960100,0.51837271
49051960200,0.53963643
49051960400,0.55040956
49053270100,0.43585396
49053270200,0.49829331
49053270300,0.45556331
49053270400,0.44768408
49053270500,0.51057982
49053270600,0.47167689
49053270700,0.43900967
49053270801,0.50188637
49053270802,0.43956131
49053270901,0.50091171
49053270902,0.47803822
49053271000,0.44649157
49053271100,0.44607419
49053271200,0.40866646
49053271300,0.44136453
49053271400,0.46705022
49053271500,0.48445192
49053271600,0.54298592
49053271701,0.53343189
49053271702,0.46256322
49053271800,0.49101558
49055979100,0.53160161
49057200100,0.42914906
49057200202,0.37492639
49057200203,0.40186602
49057200204,0.41141978
49057200300,0.37316063
49057200400,0.34650761
49057200500,0.42676657
49057200600,0.4489646
49057200700,0.40161255
49057200800,0.36549285
49057200900,0.36691096
49057201100,0.34556839
49057201200,0.3521584
49057201301,0.36246952
49057201302,0.37623438
49057201400,0.45297241
49057201500,0.51928383
49057201600,0.41728401
49057201700,0.3947449
49057201800,0.40825656
49057201900,0.31836629
49057202000,0.48681486
49057210100,0.54584426
49057210201,0.52227199
49057210203,0.54312509
49057210204,0.51072937
49057210302,0.45568293
49057210303,0.54149407
49057210304,0.41412726
49057210402,0.49886245
49057210403,0.54453415
49057210404,0.47600517
49057210504,0.55189878
49057210505,0.51672417
49057210506,0.43600279
49057210508,0.49155083
49057210509,0.45994925
49057210510,0.50618917
49057210511,0.43595669
49057210512,0.42527565
49057210600,0.47317216
49057210701,0.42223313
49057210703,0.50455844
49057210704,0.42615652
49057210800,0.43585369
49057210900,0.4793056
49057211000,0.46328536
49057211100,0.44313315
49057211201,0.50793159
49057211202,0.5641064
